   PID         User            VIRT       RES      CPU%    MEM%      Time          Command       
     1        root             162.8      11.5     0.0     0.1    0:0.27     /sbin/init     
     2        root               0.0       0.0     0.0     0.0     0:0.0         NA         
     3        root               0.0       0.0     0.0     0.0     0:0.0         NA         
     4        root               0.0       0.0     0.0     0.0     0:0.0         NA         
     5        root               0.0       0.0     0.0     0.0     0:0.0         NA         
     6        root               0.0       0.0     0.0     0.0     0:0.0         NA         
     7        root               0.0       0.0     0.0     0.0     0:0.0         NA         
     8        root               0.0       0.0     0.0     0.0     0:0.0         NA         
     9        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    10        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    11        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    12        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    13        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    14        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    15        root               0.0       0.0     0.0     0.0    0:0.21         NA         
    16        root               0.0       0.0     0.0     0.0    0:0.02         NA         
    17        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    18        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    19        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    20        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    21        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    22        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    23        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    24        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    25        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    26        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    27        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    28        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    29        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    30        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    31        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    32        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    33        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    34        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    35        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    36        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    37        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    38        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    39        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    40        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    41        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    42        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    43        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    44        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    45        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    46        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    47        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    48        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    49        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    50        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    51        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    52        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    53        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    54        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    56        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    62        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    64        root               0.0       0.0     0.0     0.0     0:0.0         NA         
    68        root               0.0       0.0     0.0     0.0     0:0.0         NA         
   110        root               0.0       0.0     0.0     0.0    0:0.01         NA         
   111        root               0.0       0.0     0.0     0.0     0:0.0         NA         
   118        root               0.0       0.0     0.0     0.0     0:0.0         NA         
   142        root               0.0       0.0     0.0     0.0    0:0.02         NA         
   143        root               0.0       0.0     0.0     0.0     0:0.0         NA         
   182        root              39.2      22.4     0.0     0.3    0:0.11 /lib/systemd/systemd-journald
   200        root               0.0       0.0     0.0     0.0     0:0.0         NA         
   204        root               0.0       0.0     0.0     0.0     0:0.0         NA         
   212        root               0.0       0.0     0.0     0.0     0:0.0         NA         
   213        root               0.0       0.0     0.0     0.0     0:0.0         NA         
   214        root              26.2       6.8     0.0     0.1    0:0.08 /lib/systemd/systemd-udevd
   291        root               0.0       0.0     0.0     0.0     0:0.0         NA         
   351    systemd-oom           14.5       6.6     0.0     0.1    0:0.06 /lib/systemd/systemd-oomd
   353  systemd-resolve         25.2      13.7     0.0     0.2    0:0.05 /lib/systemd/systemd-resolved
   354  systemd-timesync        87.3       7.4     0.0     0.1    0:0.03 /lib/systemd/systemd-timesyncd
   449        root             237.4       7.9     0.0     0.1    0:0.04 /usr/libexec/accounts-daemon
   451        root               2.8       1.9     0.0     0.0     0:0.0   /usr/sbin/acpid  
   453        root              10.9       2.4     0.0     0.0     0:0.0  /usr/sbin/anacron 
   460       avahi               7.4       4.0     0.0     0.1    0:0.01    avahi-daemon:   
   462        root              12.0       2.8     0.0     0.0     0:0.0   /usr/sbin/cron   
   465     messagebus           10.6       6.1     0.0     0.1    0:0.21    @dbus-daemon    
   468        root             537.8      18.9     0.0     0.2    0:0.09 /usr/sbin/NetworkManager
   486        root              42.8      21.0     0.0     0.3    0:0.07  /usr/bin/python3  
   489        root             231.4       9.7     0.0     0.1    0:0.08 /usr/libexec/polkitd
   490        root             237.4       7.8     0.0     0.1    0:0.01 /usr/libexec/power-profiles-daemon
   494       syslog            217.2       5.9     0.0     0.1     0:0.0 /usr/sbin/rsyslogd 
   501        root            1216.3      30.9     0.0     0.4    0:0.28 /usr/lib/snapd/snapd
   506        root             233.8       7.0     0.0     0.1    0:0.02 /usr/libexec/switcheroo-control
   518        root              23.1       8.1     0.0     0.1    0:0.05 /lib/systemd/systemd-logind
   526        root             383.9      13.1     0.0     0.2    0:0.05 /usr/libexec/udisks2/udisksd
   528        root              16.1       6.4     0.0     0.1    0:0.01 /sbin/wpa_supplicant
   557       avahi               7.3       1.3     0.0     0.0     0:0.0    avahi-daemon:   
   572        root             310.5      12.2     0.0     0.2    0:0.04 /usr/sbin/ModemManager
   621        root             238.4       9.1     0.0     0.1    0:0.02   /usr/sbin/gdm3   
   631        root             118.2      23.2     0.0     0.3    0:0.05  /usr/bin/python3  
   634        root             169.4      10.2     0.0     0.1    0:0.01 gdm-session-worker 
   636        root              73.6      13.1     0.0     0.2     0:0.0   /usr/sbin/cupsd  
   687       alisa              17.5      10.5     0.0     0.1    0:0.32 /lib/systemd/systemd
   692       alisa             101.8       5.6     0.0     0.1     0:0.0      (sd-pam)      
   702        root             168.6      11.4     0.0     0.1     0:0.0 /usr/sbin/cups-browsed
   719      kernoops            12.8       2.1     0.0     0.0     0:0.0 /usr/sbin/kerneloops
   726      kernoops            12.8       2.2     0.0     0.0     0:0.0 /usr/sbin/kerneloops
   829       alisa              41.4       6.4     0.0     0.1    0:0.01  /usr/bin/pipewire 
   830       alisa              25.7       6.4     0.0     0.1     0:0.0 /usr/bin/pipewire-media-session
   831       alisa            1136.2      26.3     0.0     0.3    0:0.12 /usr/bin/pulseaudio
   837       alisa             382.2       7.9     0.0     0.1    0:0.05 /usr/bin/gnome-keyring-daemon
   841       alisa             981.9       8.1     0.0     0.1     0:0.0 /usr/bin/ubuntu-report
   847       rtkit             150.4       3.2     0.0     0.0     0:0.0 /usr/libexec/rtkit-daemon
   857       alisa               9.4       5.8     0.0     0.1    0:0.26 /usr/bin/dbus-daemon
   860       alisa             161.5       6.0     0.0     0.1     0:0.0 /usr/libexec/gdm-wayland-session
   869       alisa             220.7      15.5     0.0     0.2     0:0.0 /usr/libexec/gnome-session-binary
   874       alisa             238.0       8.0     0.0     0.1    0:0.02 /usr/libexec/gvfsd 
   887       alisa             372.0       6.9     0.0     0.1     0:0.0 /usr/libexec/gvfsd-fuse
   950       alisa              92.5       5.4     0.0     0.1     0:0.0 /usr/libexec/gnome-session-ctl
   966       alisa             510.7      18.0     0.0     0.2    0:0.11 /usr/libexec/gnome-session-binary
   998       alisa            3712.3     388.3     0.0     4.9    0:7.11 /usr/bin/gnome-shell
   999       alisa             302.4       7.6     0.0     0.1     0:0.0 /usr/libexec/at-spi-bus-launcher
  1010       alisa               8.2       4.4     0.0     0.1    0:0.01 /usr/bin/dbus-daemon
  1015       alisa             455.3       7.5     0.0     0.1    0:0.01 /usr/libexec/xdg-document-portal
  1018       alisa             233.6       6.2     0.0     0.1     0:0.0 /usr/libexec/xdg-permission-store
  1024       alisa               2.7       1.8     0.0     0.0     0:0.0     fusermount3    
  1118       alisa             569.1      18.1     0.0     0.2    0:0.02 /usr/libexec/gnome-shell-calendar-server
  1124       alisa             458.1      25.6     0.0     0.3    0:0.04 /usr/libexec/evolution-source-registry
  1131       alisa             639.8      39.9     0.0     0.5    0:0.04 /usr/libexec/goa-daemon
  1132        root             239.6       9.0     0.0     0.1    0:0.03 /usr/libexec/upowerd
  1135       alisa             695.8      30.9     0.0     0.4    0:0.04 /usr/libexec/evolution-calendar-factory
  1144       alisa             153.3       5.8     0.0     0.1     0:0.0 /usr/libexec/dconf-service
  1155       alisa             311.6      10.5     0.0     0.1    0:0.01 /usr/libexec/gvfs-udisks2-volume-monitor
  1156       alisa             659.5      28.5     0.0     0.4    0:0.03 /usr/libexec/evolution-addressbook-factory
  1173       alisa             333.5      15.2     0.0     0.2    0:0.01 /usr/libexec/goa-identity-service
  1174       alisa             310.8       8.4     0.0     0.1    0:0.01 /usr/libexec/gvfs-afc-volume-monitor
  1184       alisa             234.8       7.0     0.0     0.1    0:0.01 /usr/libexec/gvfs-gphoto2-volume-monitor
  1189       alisa             234.0       6.6     0.0     0.1     0:0.0 /usr/libexec/gvfs-goa-volume-monitor
  1198       alisa             233.8       6.8     0.0     0.1    0:0.01 /usr/libexec/gvfs-mtp-volume-monitor
  1203        root             294.2      20.3     0.0     0.3     0:0.0 /usr/libexec/packagekitd
  1210       alisa             310.4       9.1     0.0     0.1     0:0.0 /usr/libexec/gvfsd-trash
  1221       alisa            2541.6      27.3     0.0     0.3    0:0.04    /usr/bin/gjs    
  1223       alisa             158.9       7.5     0.0     0.1     0:0.0 /usr/libexec/at-spi2-registryd
  1232       alisa               2.8       1.5     0.0     0.0     0:0.0         sh         
  1233       alisa             306.2       7.0     0.0     0.1     0:0.0 /usr/libexec/gsd-a11y-settings
  1234       alisa             444.1      26.0     0.0     0.3     0:0.1 /usr/libexec/gsd-color
  1237       alisa             382.7      11.8     0.0     0.1    0:0.08 /usr/bin/ibus-daemon
  1239       alisa             369.7      16.1     0.0     0.2    0:0.01 /usr/libexec/gsd-datetime
  1245       alisa             307.7       8.2     0.0     0.1    0:0.01 /usr/libexec/gsd-housekeeping
  1246       alisa             336.2      22.6     0.0     0.3    0:0.07 /usr/libexec/gsd-keyboard
  1251       alisa             631.6      27.4     0.0     0.3     0:0.1 /usr/libexec/gsd-media-keys
  1252       alisa             371.5      26.3     0.0     0.3     0:0.1 /usr/libexec/gsd-power
  1253       alisa             247.0      11.2     0.0     0.1     0:0.0 /usr/libexec/gsd-print-notifications
  1257       alisa             450.1       7.0     0.0     0.1     0:0.0 /usr/libexec/gsd-rfkill
  1259       alisa             233.7       6.6     0.0     0.1     0:0.0 /usr/libexec/gsd-screensaver-proxy
  1260       alisa             458.1      10.8     0.0     0.1    0:0.01 /usr/libexec/gsd-sharing
  1268       alisa             452.1       8.5     0.0     0.1     0:0.0 /usr/libexec/gsd-smartcard
  1272       alisa             314.9      10.0     0.0     0.1     0:0.0 /usr/libexec/gsd-sound
  1276       alisa             336.7      23.1     0.0     0.3    0:0.08 /usr/libexec/gsd-wacom
  1296       alisa             811.9      66.1     0.0     0.8    0:0.16 /usr/libexec/evolution-data-server/evolution-alarm-notify
  1300       alisa              74.5      14.0     0.0     0.2    0:0.04 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
  1315       alisa             162.6       7.4     0.0     0.1     0:0.0 /usr/libexec/ibus-memconf
  1317       alisa             343.1      29.4     0.0     0.4    0:1.49 /usr/libexec/ibus-extension-gtk3
  1318       alisa             226.8       7.5     0.0     0.1     0:0.0 /usr/libexec/gsd-disk-utility-notify
  1328       alisa             234.6       7.5     0.0     0.1    0:0.01 /usr/libexec/ibus-portal
  1369       alisa             337.3      15.0     0.0     0.2     0:0.0 /usr/libexec/gsd-printer
  1443       alisa             299.2      22.0     0.0     0.3    0:0.14 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
  1447       alisa             540.1      14.0     0.0     0.2    0:0.05 /usr/libexec/xdg-desktop-portal
  1451       alisa             369.9      28.4     0.0     0.4    0:0.15 /usr/libexec/xdg-desktop-portal-gnome
  1460       alisa             162.6       7.5     0.0     0.1    0:0.01 /usr/libexec/ibus-engine-simple
  1465       colord            242.4      12.9     0.0     0.2    0:0.07 /usr/libexec/colord
